"Kiesgerechtigden, blanco/ongeldige stemmen, uitgebrachte geldige stemmen per stemlocatie bij de verkiezingen voor de Tweede Kamer, maart 2021",,gebied,gbd_wijk_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebiednummer,Lijstnummer,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,36,37
,Aanduiding,stadsdeel,wijk,Postcode,opgeroepenen,geldige stembiljetten,blanco stembiljetten,ongeldige stembiljetten,aangetroffen stembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
39,Stembureau Stichting Arcam,Centrum,A04,1011 VX,984,591,1,1,593,49,10,13,171,80,30,59,9,57,1,0,2,16,36,4,0,44,0,1,1,1,5,0,0,0,0,0,0,0,1,0,0,1
40,Stembureau Doopsgezinde Singelkerk,Centrum,A03,1017AW,795,342,2,2,346,68,10,8,97,25,9,14,4,33,0,0,0,16,15,5,0,33,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
41,Stembureau Allard Pierson,Centrum,A00,1012 GC,904,494,0,0,494,61,9,19,159,59,10,34,2,37,1,1,3,14,28,12,0,38,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
42,Stembureau Akhnaton,Centrum,A01,1012 PV,821,325,2,1,328,33,12,8,89,30,13,10,2,46,1,0,2,18,23,6,0,28,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
43,Stembureau De Witte Boei,Centrum,A09,1018 LT,1006,719,1,6,726,55,39,10,107,105,54,68,11,60,3,1,43,28,76,8,0,30,6,0,0,1,6,2,0,1,0,0,1,2,0,2,0,0
44,Stembureau Oosterkerk,Centrum,A09,1018 LS,670,755,0,2,757,56,20,12,172,127,44,74,6,75,4,0,14,17,65,6,0,51,0,6,0,1,3,0,0,1,0,0,0,0,0,0,0,1
45,Stembureau NH Caransa,Centrum,A03,1017 CT,782,314,1,3,318,69,11,7,82,24,7,12,2,21,1,0,1,17,20,0,0,30,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
46,Stembureau Sporthal Oostenburg,Centrum,A09,1018 ND,612,136,0,0,136,13,7,3,30,16,10,8,0,7,0,0,11,0,14,2,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,Stembureau Lil' Amsterdam,Centrum,A01,1012AB,0,436,1,1,438,35,14,15,113,61,16,23,4,29,2,0,13,8,43,1,0,42,6,2,0,2,2,0,1,0,0,0,1,1,0,1,0,1
49,Stembureau Crea Cultureel Studentencentrum,Centrum,A08,1018 WV,672,591,0,0,591,62,6,10,164,103,23,50,4,53,1,0,0,13,45,5,1,42,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Stembureau De Waalse Kerk,Centrum,A00,1012 JZ,635,425,2,0,427,42,8,5,130,50,12,30,6,39,2,2,0,8,29,3,0,45,3,3,1,2,2,1,0,1,0,0,1,0,0,0,0,0
52,Stembureau De Zuiderkerk,Centrum,A04,1011WB,1033,561,2,0,563,43,20,10,151,71,47,37,6,57,2,2,3,9,38,7,1,46,0,2,2,0,1,0,1,1,0,1,0,0,0,0,1,2
53,Stembureau Lancaster Hotel,Centrum,A08,1018 DH,897,520,0,2,522,60,15,8,175,57,26,34,6,54,1,0,6,12,15,4,0,40,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3
54,Stembureau Sportstudio 79,Centrum,A05,1013 JB,890,992,2,4,998,105,29,5,293,148,39,48,5,113,4,0,15,30,55,7,1,84,1,4,0,0,4,0,1,0,0,0,1,0,0,0,0,0
